UID|User|AllocTRES|AveDiskRead|AveDiskWrite|CPUTimeRAW|TotalCPU|ElapsedRaw|State|Partition|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.940|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.920|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.918|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.933|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.931|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.929|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.927|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.933|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.931|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.908|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.906|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.918|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.916|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||12|00:03.753|12|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|12|00:03.751|12|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|12|00:00.001|12|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||9|00:03.537|9|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|9|00:03.536|9|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|9|00:00.001|9|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||9|00:03.542|9|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|9|00:03.540|9|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|9|00:00.001|9|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||9|00:03.545|9|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|9|00:03.544|9|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|9|00:00.001|9|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.858|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.856|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00.001|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.877|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.875|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00.001|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.932|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.930|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00.001|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.872|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|4|00:03.870|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00.001|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.867|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.865|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|4|00:00.002|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.938|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.936|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00.001|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.854|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.852|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00.001|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.956|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.954|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.961|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.959|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.945|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.943|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.938|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.936|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.924|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.922|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.908|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.907|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.932|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.930|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.891|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.889|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.901|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.899|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.901|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.899|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.853|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.851|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.853|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.850|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.876|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.874|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.884|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.882|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.725|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.723|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.674|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.672|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.696|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.694|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.757|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.755|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.825|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.823|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.706|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.704|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||6|00:03.665|6|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|6|00:03.663|6|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|6|00:00.001|6|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||6|00:03.681|6|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|6|00:03.680|6|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|6|00:00:00|6|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.724|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.723|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00:00|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.686|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.684|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||6|00:03.658|6|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|6|00:03.656|6|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|6|00:00.001|6|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||6|00:03.693|6|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|6|00:03.691|6|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|6|00:00.001|6|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.672|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.670|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||6|00:03.755|6|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|6|00:03.753|6|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|6|00:00.001|6|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||6|00:03.618|6|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|6|00:03.616|6|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|6|00:00.001|6|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.993|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|4|00:03.991|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:04.005|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:04.004|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:04.092|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:04.091|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:04.024|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:04.022|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:04.077|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:04.075|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.986|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.984|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:04.003|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:04.002|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.987|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.985|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:04.030|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:04.028|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.988|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.986|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:04.028|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:04.026|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.974|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|4|00:03.972|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:04.013|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:04.011|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:04.005|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:04.003|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:04.014|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:04.012|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.983|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.981|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.998|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.997|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00:00|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.959|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.957|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.987|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.985|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.939|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.937|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.614|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.612|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.473|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.472|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00:00|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.466|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.465|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.439|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.437|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.542|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.540|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.538|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.536|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.498|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|5|00:03.496|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.828|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.826|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.821|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.819|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.833|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.832|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00:00|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||6|00:03.824|6|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|6|00:03.822|6|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|6|00:00.002|6|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.809|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.807|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.839|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.837|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.820|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.818|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.001|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.815|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.815|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00:00|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.814|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.812|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||6|00:03.807|6|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|6|00:03.805|6|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|6|00:00.001|6|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.835|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.833|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||6|00:03.791|6|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|6|00:03.789|6|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|6|00:00.001|6|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||5|00:03.811|5|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|5|00:03.809|5|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|5|00:00.002|5|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||3|00:03.104|3|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|3|00:03.103|3|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|3|00:00.001|3|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||3|00:03.089|3|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|3|00:03.087|3|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|3|00:00.001|3|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||3|00:03.096|3|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|3|00:03.094|3|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0|0|3|00:00.001|3|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||3|00:03.098|3|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|3|00:03.097|3|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|3|00:00:00|3|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.415|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0|4|00:03.414|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00.001|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.432|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.430|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00.001|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.428|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.427|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00:00|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.418|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.417|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00.001|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.418|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.416|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00.001|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.435|4|FAILED|compute-hugemem|
||cpu=1,mem=12G,node=1|0|0.00M|4|00:03.433|4|FAILED||
||billing=3,cpu=1,mem=12G,node=1|0.00M|0.00M|4|00:00.001|4|COMPLETED||
1192234|gvisan01|billing=3,cpu=1,mem=12G,node=1|||4|00:03.336|4|FAILED|compute-hugemem|
