UID|User|AllocTRES|AveDiskRead|AveDiskWrite|CPUTimeRAW|TotalCPU|ElapsedRaw|State|Partition|
||cpu=40,mem=170G,node=1|21.12M|0.12M|25921240|7-11:43:51|648031|CANCELLED||
||billing=74,cpu=40,mem=170G,node=1|0.00M|0.00M|25921200|00:00.002|648030|COMPLETED||
1106886|willll||||0|00:00:00|0|CANCELLED by 1106886|compute-hugemem|
1106886|willll|billing=185,cpu=40,mem=728G,node=1|||200|00:01.408|5|FAILED|compute-hugemem|
||cpu=40,mem=728G,node=1|0|0.00M|200|00:01.406|5|FAILED||
||billing=185,cpu=40,mem=728G,node=1|0.00M|0.00M|200|00:00.002|5|COMPLETED||
1106886|willll|billing=185,cpu=40,mem=728G,node=1|||120|00:01.898|3|COMPLETED|compute-hugemem|
||cpu=40,mem=728G,node=1|0|0.00M|120|00:01.896|3|COMPLETED||
||billing=185,cpu=40,mem=728G,node=1|0.00M|0.00M|120|00:00.002|3|COMPLETED||
1106886|willll|billing=185,cpu=40,mem=728G,node=1|||120|00:02.426|3|COMPLETED|compute-hugemem|
||cpu=40,mem=728G,node=1|0|0.00M|120|00:02.424|3|COMPLETED||
||billing=185,cpu=40,mem=728G,node=1|0.00M|0.00M|120|00:00.002|3|COMPLETED||
1106886|willll|billing=185,cpu=40,mem=728G,node=1|||120720|1-07:27:06|3018|COMPLETED|compute-hugemem|
||cpu=40,mem=728G,node=1|59618.26M|13176.80M|120720|1-07:27:06|3018|COMPLETED||
||billing=185,cpu=40,mem=728G,node=1|0.00M|0.00M|120720|00:00.002|3018|COMPLETED||
1106886|willll||||0|00:00:00|0|CANCELLED by 1106886|compute-hugemem|
1156277|seunguk|billing=2,cpu=2,mem=2G,node=2|||7222|00:01.340|3611|TIMEOUT|compute|
||cpu=1,mem=1G,node=1|20.02M|21.58M|3622|00:01.336|3622|CANCELLED||
||billing=2,cpu=2,mem=2G,node=2|0.00M|0.00M|7222|00:00.004|3611|COMPLETED||
1156277|seunguk|billing=2,cpu=2,mem=2G,node=2|||7228|00:00.313|3614|TIMEOUT|compute|
||cpu=1,mem=1G,node=1|1.00M|0.31M|3614|00:00.309|3614|COMPLETED||
||billing=2,cpu=2,mem=2G,node=2|0.00M|0.00M|7228|00:00.003|3614|COMPLETED||
841398|zheng94|billing=277,cpu=1,gres/gpu:2080ti=6,gres/gpu=6,mem=32G,node=1|||27687|07:38:20|27687|COMPLETED|gpu-2080ti|
||cpu=1,gres/gpu:2080ti=6,gres/gpu=6,mem=32G,node=1|10880.66M|5242.11M|27687|07:38:20|27687|COMPLETED||
||billing=277,cpu=1,gres/gpu:2080ti=6,gres/gpu=6,mem=32G,node=1|0.00M|0.00M|27687|00:00:00|27687|COMPLETED||
1282564|yueyaof|billing=592,cpu=320,mem=1360G,node=8|||2000960|22-22:40:19|6253|COMPLETED|compute|
||cpu=40,mem=170G,node=1|21.58M|5.90M|250120|00:02.425|6253|COMPLETED||
||billing=592,cpu=320,mem=1360G,node=8|0.00M|0.00M|2000960|00:00.018|6253|COMPLETED||
||cpu=320,mem=1360G,node=8|69.84M|3.22M|1997120|22-22:40:16|6241|COMPLETED||
1282564|yueyaof|billing=592,cpu=320,mem=1360G,node=8|||44930240|516-21:22:08|140407|TIMEOUT|compute|
||cpu=40,mem=170G,node=1|9.05M|5.52M|5616320|00:00.860|140408|CANCELLED||
||billing=592,cpu=320,mem=1360G,node=8|0.00M|0.00M|44930240|00:00.017|140407|COMPLETED||
||cpu=320,mem=1360G,node=8|70.14M|4.97M|44925760|516-21:22:07|140393|FAILED||
1156277|seunguk|billing=1,cpu=1,mem=1G,node=1|||195|00:35.294|195|COMPLETED|compute|
||cpu=1,mem=1G,node=1|1227.88M|655.39M|195|00:35.283|195|COMPLETED||
||billing=1,cpu=1,mem=1G,node=1|0.00M|0.00M|195|00:00.001|195|COMPLETED||
||cpu=1,mem=1G,node=1|0|0|0|00:00.009|0|COMPLETED||
1156277|seunguk|billing=3,cpu=3,mem=3G,node=3|||1011|00:01.029|337|COMPLETED|compute|
||cpu=1,mem=1G,node=1|22.32M|24.81M|337|00:00.947|337|COMPLETED||
||billing=3,cpu=3,mem=3G,node=3|0.00M|0.00M|1011|00:00.005|337|COMPLETED||
||cpu=3,mem=3G,node=3|0|0|0|00:00.031|0|COMPLETED||
||cpu=3,mem=3G,node=3|0|0|0|00:00.020|0|COMPLETED||
||cpu=3,mem=3G,node=3|0|0|0|00:00.024|0|COMPLETED||
1156277|seunguk|billing=1,cpu=1,mem=1G,node=1|||330|00:06.018|330|COMPLETED|compute-hugemem|
||cpu=1,mem=1G,node=1|178.69M|155.12M|330|00:06.016|330|COMPLETED||
||billing=1,cpu=1,mem=1G,node=1|0.00M|0.00M|330|00:00.002|330|COMPLETED||
1156277|seunguk|billing=3,cpu=3,mem=3G,node=3|||10815|05:38.042|3605|TIMEOUT|compute|
||cpu=1,mem=1G,node=1|14881.34M|11849.99M|3605|05:38.036|3605|COMPLETED||
||billing=3,cpu=3,mem=3G,node=3|0.00M|0.00M|10815|00:00.005|3605|COMPLETED||
1106886|willll|billing=185,cpu=40,mem=728G,node=1|||204120|2-04:53:46|5103|COMPLETED|compute-hugemem|
||cpu=40,mem=728G,node=1|134093.66M|25510.58M|204120|2-04:53:46|5103|COMPLETED||
||billing=185,cpu=40,mem=728G,node=1|0.00M|0.00M|204120|00:00.002|5103|COMPLETED||
1106886|willll|billing=185,cpu=40,mem=728G,node=1|||832600|9-01:18:18|20815|COMPLETED|compute-hugemem|
||cpu=40,mem=728G,node=1|550207.95M|100770.55M|832600|9-01:18:18|20815|COMPLETED||
||billing=185,cpu=40,mem=728G,node=1|0.00M|0.00M|832600|00:00.002|20815|COMPLETED||
1156277|seunguk|billing=1,cpu=1,mem=1G|||0|00:00:00|0|CANCELLED|compute-hugemem|
1156277|seunguk|billing=1,cpu=1,mem=1G,node=1|||3629|00:08.252|3629|TIMEOUT|gpu-2080ti|
||cpu=1,mem=1G,node=1|198.50M|178.40M|3640|00:08.251|3640|CANCELLED||
||billing=1,cpu=1,mem=1G,node=1|0.00M|0.00M|3630|00:00:00|3630|COMPLETED||
1156277|seunguk|billing=2,cpu=2,mem=2G,node=2|||7256|00:33.011|3628|TIMEOUT|compute|
||cpu=1,mem=1G,node=1|789.73M|712.81M|3628|00:23.460|3628|FAILED||
||billing=2,cpu=2,mem=2G,node=2|0.00M|0.00M|7256|00:00.004|3628|COMPLETED||
||cpu=2,mem=2G,node=2|0|0|0|00:00.018|0|COMPLETED||
||cpu=2,mem=2G,node=2|0|0|2|00:00.658|1|FAILED||
||cpu=2,mem=2G,node=2|0|0|20|00:08.869|10|COMPLETED||
1156277|seunguk|billing=1,cpu=1,mem=1G,node=1|||2559|00:16.406|2559|COMPLETED|compute|
||cpu=1,mem=1G,node=1|433.60M|390.97M|2559|00:16.404|2559|COMPLETED||
||billing=1,cpu=1,mem=1G,node=1|0.00M|0.00M|2559|00:00.001|2559|COMPLETED||
1156277|seunguk|billing=1,cpu=1,mem=1G,node=1|||350|00:00.960|350|COMPLETED|compute|
||cpu=1,mem=1G,node=1|19.79M|22.77M|350|00:00.958|350|COMPLETED||
||billing=1,cpu=1,mem=1G,node=1|0.00M|0.00M|350|00:00.001|350|COMPLETED||
1156277|seunguk||||0|00:00:00|0|CANCELLED by 1156277|compute-hugemem|
1156277|seunguk|billing=1,cpu=1,mem=1G,node=1|||928|00:06.047|928|COMPLETED|gpu-2080ti|
||cpu=1,mem=1G,node=1|182.68M|158.20M|938|00:06.046|938|CANCELLED||
||billing=1,cpu=1,mem=1G,node=1|0.00M|0.00M|928|00:00:00|928|COMPLETED||
1156277|seunguk|billing=4,cpu=4,mem=4G,node=4|||2688|05:45.234|672|FAILED|compute|
||cpu=1,mem=1G,node=1|432.09M|390.27M|672|00:13.188|672|FAILED||
||billing=4,cpu=4,mem=4G,node=4|162.14M|86.19M|2692|05:32.014|673|COMPLETED||
